Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744416934,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744416935,10,,Aggregated,0.000000,0.000000,780,790,800,810,810,810,810,810,810,810,810,10,0,770.0,758.4417640988249,659.2945219599642,808.2781679695472,49241.0
1744416936,20,,Aggregated,0.000000,0.000000,510,730,770,780,800,810,810,810,810,810,810,21,0,510.0,582.3510877061857,34.003176959231496,808.2781679695472,49241.0
1744416937,30,,Aggregated,3.000000,0.000000,710,780,800,810,870,940,990,990,990,990,990,28,0,690.0,640.440437745253,34.003176959231496,992.6222919602878,49241.0
1744416938,30,,Aggregated,10.000000,0.000000,790,990,1000,1100,1400,1400,1500,1500,1500,1500,1500,41,0,790.0,821.6660579257622,34.003176959231496,1461.7924509802833,49241.0
1744416939,30,,Aggregated,7.666667,0.000000,770,940,1000,1100,1300,1400,1500,1500,1500,1500,1500,65,0,770.0,701.6196193988435,27.524528035428375,1508.0153869930655,49241.0
1744416940,30,,Aggregated,9.000000,0.000000,510,790,990,1000,1200,1400,1500,1500,1500,1500,1500,84,0,510.0,559.3129914285826,27.524528035428375,1508.0153869930655,49241.0
1744416941,30,,Aggregated,11.600000,0.000000,310,730,810,990,1200,1400,1500,1500,1500,1500,1500,102,0,180.0,475.58347386360515,27.524528035428375,1508.0153869930655,49241.0
1744416942,30,,Aggregated,12.833333,0.000000,110,510,780,810,1100,1300,1500,1500,1500,1500,1500,121,0,110.0,408.13444009866595,27.524528035428375,1508.0153869930655,49241.0
1744416943,30,,Aggregated,13.857143,0.000000,84,370,710,790,1100,1300,1500,1500,1500,1500,1500,143,0,84,355.0294007628935,27.524528035428375,1508.0153869930655,49241.0
1744416944,30,,Aggregated,14.625000,0.000000,72,150,610,770,1100,1300,1400,1500,1500,1500,1500,159,0,72,323.6634297111165,27.524528035428375,1508.0153869930655,49241.0
