Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744480937,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744480938,10,,Aggregated,0.000000,0.000000,760,880,990,990,990,990,990,990,990,990,990,8,0,760.0,811.3531750000001,589.562,990.5527000000001,49244.0
1744480939,30,,Aggregated,0.000000,0.000000,880,950,990,990,1200,1200,1200,1200,1200,1200,1200,20,0,830.0,860.5579449999999,580.6101999999997,1169.8533999999997,37702.0
1744480940,40,,Aggregated,0.000000,0.000000,950,1200,1600,1700,1800,1900,2000,2000,2000,2000,2000,29,0,950.0,1083.0527206896552,132.34879999999993,1993.9342,40488.0
1744480941,50,,Aggregated,5.000000,0.000000,890,1200,1600,1700,1800,2000,2100,2100,2100,2100,2100,48,0,880.0,1040.5644499999996,132.34879999999993,2062.2911999999997,38182.916666666664
1744480942,60,,Aggregated,6.666667,0.000000,880,1200,1600,1700,2000,2600,2700,3000,3000,3000,3000,62,0,850.0,1098.293603225806,132.34879999999993,2960.4159,37329.67741935484
1744480943,70,,Aggregated,10.000000,0.000000,900,1600,1700,2000,2600,2700,3000,3000,3000,3000,3000,86,0,890.0,1203.0484046511626,132.34879999999993,3005.2752000000005,36628.32558139535
1744480944,80,,Aggregated,10.600000,0.000000,890,1600,1800,2100,2600,2800,3000,3000,3000,3000,3000,100,0,880.0,1212.6749,132.34879999999993,3005.2752000000005,36086.12
1744480945,90,,Aggregated,12.166667,0.000000,940,1600,2000,2400,2700,3000,3600,3700,4300,4300,4300,115,0,940.0,1339.5246286956526,132.34879999999993,4273.599499999999,36597.98260869565
1744480946,100,,Aggregated,13.428571,0.000000,990,1700,2100,2400,2900,3500,3900,4300,4600,4600,4600,138,0,990.0,1403.4331898550722,132.34879999999993,4629.4826,35360.14492753623
1744480947,100,,Aggregated,13.625000,0.000000,1100,1800,2600,2700,3300,4000,4600,5300,5300,5300,5300,156,0,1100.0,1577.6463538461535,132.34879999999993,5255.807299999999,35778.333333333336
1744480948,100,,Aggregated,14.111111,0.000000,1300,2000,2600,2800,3500,4100,4800,5300,5800,5800,5800,185,0,1300.0,1684.9007140540537,132.34879999999993,5825.7568,35019.26486486487
1744480949,100,,Aggregated,14.800000,0.000000,1400,2100,2600,2900,3600,4500,5300,5300,5800,5800,5800,212,0,1300.0,1745.8131919811317,132.34879999999993,5825.7568,34544.28301886792
1744480950,100,,Aggregated,17.000000,0.000000,1400,2100,2700,3000,3800,4800,5800,6300,7900,7900,7900,242,0,1400.0,1853.03088677686,132.34879999999993,7855.435100000001,33981.85123966942
1744480951,100,,Aggregated,19.100000,0.000000,1400,2200,2700,3000,4200,5000,5600,6300,7900,7900,7900,265,0,1400.0,1894.0278950943396,132.34879999999993,7855.435100000001,33912.73962264151
1744480952,100,,Aggregated,20.700000,0.000000,1400,2100,2700,3000,4400,5300,5800,6600,7900,7900,7900,301,0,1400.0,1924.5219332225913,132.34879999999993,7932.7593,33138.88372093023
1744480953,100,,Aggregated,21.400000,0.000000,1400,2100,2700,3000,4400,5300,6400,7500,9200,9200,9200,341,0,1400.0,1932.7214563049856,132.34879999999993,9230.2878,32523.33137829912
1744480954,100,,Aggregated,23.000000,0.000000,1400,2100,2700,3000,4500,5400,7500,8400,11000,11000,11000,367,0,1400.0,1975.5231626702996,132.34879999999993,10671.070800000003,32324.119891008173
1744480955,100,,Aggregated,25.000000,0.000000,1300,2000,2600,3000,4300,5300,7500,8400,11000,11000,11000,399,0,1300.0,1924.8817115288216,132.34879999999993,10671.070800000003,31829.754385964912
1744480956,100,,Aggregated,25.800000,0.000000,1300,1900,2500,2800,4100,5300,7100,8200,11000,11000,11000,440,0,1300.0,1843.376072045454,132.34879999999993,10671.070800000003,31301.436363636363
1744480957,100,,Aggregated,27.000000,0.000000,1200,1800,2400,2700,4100,5300,7500,8700,12000,12000,12000,478,0,1200.0,1823.07941338912,132.34879999999993,12434.077400000002,30989.28870292887
1744480958,100,,Aggregated,29.100000,0.000000,1100,1700,2200,2600,3700,5200,7100,8400,12000,12000,12000,522,0,1100.0,1716.0311040229874,132.34879999999993,12434.077400000002,30582.222222222223
1744480959,100,,Aggregated,31.000000,0.000000,980,1500,2100,2500,3600,5000,6600,8400,12000,12000,12000,567,0,980.0,1617.2289054673709,132.34879999999993,12434.077400000002,30231.252204585537
1744480960,100,,Aggregated,33.200000,0.000000,890,1400,1900,2300,3400,4900,6400,8200,12000,12000,12000,619,0,890.0,1503.7323794830356,56.302299999998695,12434.077400000002,29889.24071082391
1744480961,100,,Aggregated,34.300000,0.000000,810,1300,1800,2200,3300,4800,6300,8200,12000,12000,12000,657,0,810.0,1419.1596786910177,18.415999999998434,12434.077400000002,29673.546423135464
1744480962,100,,Aggregated,35.900000,0.000000,780,1300,1800,2100,3300,4800,6300,8200,12000,12000,12000,679,0,780.0,1392.4481223858597,18.415999999998434,12434.077400000002,29559.705449189983
1744480963,100,,Aggregated,38.700000,0.000000,780,1200,1700,2100,3300,4600,5900,7900,12000,12000,12000,709,0,780.0,1368.222974894216,18.415999999998434,12434.077400000002,29415.853314527503
1744480964,100,,Aggregated,38.300000,0.000000,810,1200,1600,2000,3100,4500,5800,7900,12000,12000,12000,753,0,810.0,1346.5552993359881,18.415999999998434,12434.077400000002,29225.604249667995
1744480965,100,,Aggregated,37.100000,0.000000,770,1100,1600,1900,3000,4400,5800,7900,12000,12000,12000,803,0,770.0,1310.6659074719794,18.415999999998434,12434.077400000002,29034.7198007472
1744480966,100,,Aggregated,37.700000,0.000000,730,1100,1500,1800,2900,4300,5600,7900,12000,12000,12000,853,0,730.0,1236.5261281359908,18.415999999998434,12434.077400000002,28866.213364595544
1744480967,100,,Aggregated,39.300000,0.000000,680,1000,1400,1700,2900,4100,5600,7900,12000,12000,12000,895,0,680.0,1193.2321215642457,18.415999999998434,12434.077400000002,28739.217877094972
1744480968,100,,Aggregated,41.300000,0.000000,650,990,1400,1700,2700,4100,5600,7500,12000,12000,12000,933,0,650.0,1160.8033911039652,18.415999999998434,12434.077400000002,28634.16934619507
